frame,gp,x,reward,total,looped,life
196,0,42,2.0,2.0,False,2
200,0,44,2.0,4.0,False,2
204,0,48,4.0,8.0,False,2
208,0,53,5.0,13.0,False,2
212,0,58,4.0,17.0,False,2
216,0,64,6.0,23.0,False,2
220,0,71,7.0,30.0,False,2
224,0,78,7.0,37.0,False,2
228,0,85,7.0,44.0,False,2
232,0,92,6.0,50.0,False,2
236,0,100,8.0,58.0,False,2
240,0,109,9.0,67.0,False,2
244,0,120,11.0,78.0,False,2
248,0,132,12.0,90.0,False,2
252,0,144,11.0,101.0,False,2
256,0,156,12.0,113.0,False,2
260,0,168,12.0,125.0,False,2
264,0,180,12.0,137.0,False,2
268,0,192,12.0,149.0,False,2
272,0,204,11.0,160.0,False,2
276,0,216,12.0,172.0,False,2
280,0,228,12.0,184.0,False,2
284,0,240,12.0,196.0,False,2
288,0,252,12.0,208.0,False,2
292,0,264,11.0,219.0,False,2
296,0,276,12.0,231.0,False,2
300,0,288,12.0,243.0,False,2
304,0,300,12.0,255.0,False,2
308,0,312,12.0,267.0,False,2
312,0,324,11.0,278.0,False,2
316,0,336,13.0,291.0,False,2
320,0,348,12.0,303.0,False,2
324,0,360,12.0,315.0,False,2
328,0,370,10.0,325.0,False,2
332,0,379,8.0,333.0,False,2
336,0,388,9.0,342.0,False,2
340,0,397,9.0,351.0,False,2
344,0,406,9.0,360.0,False,2
348,0,415,9.0,369.0,False,2
352,0,424,8.0,377.0,False,2
356,0,431,7.0,384.0,False,2
360,0,439,8.0,392.0,False,2
364,0,446,7.0,399.0,False,2
368,0,452,6.0,405.0,False,2
372,0,459,6.0,411.0,False,2
376,0,465,6.0,417.0,False,2
380,0,472,7.0,424.0,False,2
384,0,478,6.0,430.0,False,2
388,0,485,7.0,437.0,False,2
392,0,491,5.0,442.0,False,2
396,0,498,7.0,449.0,False,2
400,0,504,6.0,455.0,False,2
404,0,511,7.0,462.0,False,2
408,0,517,6.0,468.0,False,2
412,0,523,5.0,473.0,False,2
416,0,527,4.0,477.0,False,2
420,0,531,4.0,481.0,False,2
424,0,534,3.0,484.0,False,2
428,0,538,4.0,488.0,False,2
432,0,541,2.0,490.0,False,2
436,0,545,4.0,494.0,False,2
440,0,548,3.0,497.0,False,2
444,0,552,4.0,501.0,False,2
448,0,555,3.0,504.0,False,2
452,0,558,2.0,506.0,False,2
456,0,558,0.0,506.0,False,2
460,0,558,0.0,506.0,False,2
464,0,558,0.0,506.0,False,2
468,0,558,0.0,506.0,False,2
472,0,558,-1.0,505.0,False,2
476,0,558,0.0,505.0,False,2
480,0,558,0.0,505.0,False,2
484,0,558,0.0,505.0,False,2
488,0,558,0.0,505.0,False,2
492,0,558,-1.0,504.0,False,2
496,0,558,0.0,504.0,False,2
500,0,558,0.0,504.0,False,2
504,0,558,0.0,504.0,False,2
508,0,558,0.0,504.0,False,2
512,0,558,-1.0,503.0,False,2
516,0,558,0.0,503.0,False,2
520,0,558,0.0,503.0,False,2
524,0,558,0.0,503.0,False,2
528,0,558,0.0,503.0,False,2
532,0,558,-1.0,502.0,False,2
536,0,559,1.0,503.0,False,2
540,0,559,0.0,503.0,False,2
544,0,560,1.0,504.0,False,2
548,0,560,0.0,504.0,False,2
552,0,561,0.0,504.0,False,2
556,0,561,0.0,504.0,False,2
560,0,562,1.0,505.0,False,2
564,0,562,0.0,505.0,False,2
568,0,562,0.0,505.0,False,2
572,0,562,-1.0,504.0,False,2
576,0,562,0.0,504.0,False,2
580,0,562,0.0,504.0,False,2
584,0,562,0.0,504.0,False,2
588,0,562,0.0,504.0,False,2
592,0,562,-1.0,503.0,False,2
596,0,562,0.0,503.0,False,2
600,0,562,0.0,503.0,False,2
604,0,562,0.0,503.0,False,2
608,0,562,0.0,503.0,False,2
612,0,562,-1.0,502.0,False,2
616,0,562,0.0,502.0,False,2
620,0,562,0.0,502.0,False,2
624,0,562,0.0,502.0,False,2
628,0,562,0.0,502.0,False,2
632,0,562,-1.0,501.0,False,2
636,0,562,0.0,501.0,False,2
640,0,562,0.0,501.0,False,2
644,0,562,0.0,501.0,False,2
648,0,562,0.0,501.0,False,2
652,0,562,-1.0,500.0,False,2
656,0,563,1.0,501.0,False,2
660,0,564,1.0,502.0,False,2
664,0,567,3.0,505.0,False,2
668,0,571,4.0,509.0,False,2
672,0,575,3.0,512.0,False,2
676,0,581,6.0,518.0,False,2
680,0,587,6.0,524.0,False,2
684,0,594,7.0,531.0,False,2
688,0,594,0.0,531.0,False,2
692,0,594,-1.0,530.0,False,2
696,0,594,0.0,530.0,False,2
700,0,596,2.0,532.0,False,2
704,0,596,0.0,532.0,False,2
708,0,597,1.0,533.0,False,2
712,0,599,1.0,534.0,False,2
716,0,600,1.0,535.0,False,2
720,0,600,0.0,535.0,False,2
724,0,600,0.0,535.0,False,2
728,0,601,1.0,536.0,False,2
732,0,601,-1.0,535.0,False,2
736,0,601,0.0,535.0,False,2
740,0,601,0.0,535.0,False,2
744,0,601,0.0,535.0,False,2
748,0,601,0.0,535.0,False,2
752,0,599,-1.0,534.0,False,2
756,0,596,0.0,534.0,False,2
760,0,594,0.0,534.0,False,2
764,0,591,0.0,534.0,False,2
768,0,589,0.0,534.0,False,2
772,0,586,-1.0,533.0,False,2
776,0,585,0.0,533.0,False,2
780,0,584,0.0,533.0,False,2
784,0,584,0.0,533.0,False,2
788,0,584,0.0,533.0,False,2
792,0,584,-1.0,532.0,False,2
796,0,584,0.0,532.0,False,2
800,0,584,0.0,532.0,False,2
804,0,584,0.0,532.0,False,2
808,0,584,0.0,532.0,False,2
812,0,584,-1.0,531.0,False,2
816,0,584,0.0,531.0,False,2
820,0,584,0.0,531.0,False,2
824,0,584,0.0,531.0,False,2
828,0,584,0.0,531.0,False,2
832,0,584,-1.0,530.0,False,2
836,0,584,0.0,530.0,False,2
840,0,584,0.0,530.0,False,2
844,0,584,0.0,530.0,False,2
848,0,584,0.0,530.0,False,2
852,0,584,-1.0,529.0,False,2
856,0,584,0.0,529.0,False,2
860,0,584,0.0,529.0,False,2
864,0,584,0.0,529.0,False,2
868,0,584,0.0,529.0,False,2
872,0,584,-1.0,528.0,False,2
876,0,584,0.0,528.0,False,2
880,0,584,0.0,528.0,False,2
884,0,584,0.0,528.0,False,2
888,0,584,0.0,528.0,False,2
892,0,584,-1.0,527.0,False,2
896,0,584,0.0,527.0,False,2
900,0,584,0.0,527.0,False,2
904,0,584,0.0,527.0,False,2
908,0,584,0.0,527.0,False,2
912,0,584,-1.0,526.0,False,2
916,0,584,0.0,526.0,False,2
920,0,584,0.0,526.0,False,2
924,0,584,0.0,526.0,False,2
928,0,584,0.0,526.0,False,2
932,0,584,-1.0,525.0,False,2
936,0,584,0.0,525.0,False,2
940,0,584,0.0,525.0,False,2
944,0,584,0.0,525.0,False,2
948,0,584,0.0,525.0,False,2
952,0,584,-1.0,524.0,False,2
956,0,584,0.0,524.0,False,2
960,0,584,0.0,524.0,False,2
964,0,584,0.0,524.0,False,2
968,0,584,0.0,524.0,False,2
972,0,584,-1.0,523.0,False,2
976,0,584,0.0,523.0,False,2
980,0,584,0.0,523.0,False,2
984,0,584,0.0,523.0,False,2
988,0,584,0.0,523.0,False,2
992,0,584,-1.0,522.0,False,2
996,0,584,0.0,522.0,False,2
1000,0,584,0.0,522.0,False,2
1004,0,584,0.0,522.0,False,2
1008,0,584,0.0,522.0,False,2
1012,0,584,-1.0,521.0,False,2
1016,0,584,0.0,521.0,False,2
1020,0,584,0.0,521.0,False,2
1024,0,584,0.0,521.0,False,2
1028,0,584,0.0,521.0,False,2
1032,0,584,-1.0,520.0,False,2
1036,0,584,0.0,520.0,False,2
1040,0,584,0.0,520.0,False,2
1044,0,585,0.0,520.0,False,2
1048,0,588,0.0,520.0,False,2
1052,0,593,-1.0,519.0,False,2
1056,0,594,0.0,519.0,False,2
1060,0,594,0.0,519.0,False,2
1064,0,594,0.0,519.0,False,2
1068,0,594,0.0,519.0,False,2
1072,0,594,-1.0,518.0,False,2
1076,0,594,0.0,518.0,False,2
1080,0,594,0.0,518.0,False,2
1084,0,594,0.0,518.0,False,2
1088,0,594,0.0,518.0,False,2
1092,0,594,-1.0,517.0,False,2
1096,0,594,0.0,517.0,False,2
1100,0,594,0.0,517.0,False,2
1104,0,594,0.0,517.0,False,2
1108,0,594,0.0,517.0,False,2
1112,0,594,-1.0,516.0,False,2
1116,0,594,0.0,516.0,False,2
1120,0,594,0.0,516.0,False,2
1124,0,594,0.0,516.0,False,2
1128,0,594,0.0,516.0,False,2
1132,0,594,-1.0,515.0,False,2
1136,0,594,0.0,515.0,False,2
1140,0,594,0.0,515.0,False,2
1144,0,594,0.0,515.0,False,2
